sentence,overall
Khá đẹp tạm thời đánh giá sau 1 tuần quay lại cập nhật,
"Giao hàng[0,8,p] rấtnhanh, vỏ hộp[27,32,neu] không bị bópméo, máy[62,64,p] như miêu tả",p
"Săn sale với ưu đãi thanhtoán.còn 7t3 quá[38,40,neu] ngon trong tầm giá, nhận hành[73,81,p] nhanhchóng, ipad xài tốt ko vde gì, nên mua nha mn",
" Giao hàng[1,9,p]nhanh, đóng gói[24,31,p]tốt, xuất hoá đơn điện tử đầyđủ, thấy mấy lần mua có tem niêm phong nhưng đợt này không có",p
"Hàng[0,3,p] chínhhãng, giátốt, giao[31,34,p] siêunhanh, chất lượng[56,65,p] miễnbàn, có đủ sạc nhanh vàcáp,mn cứ săn sale là tiết kiệm được 1 khoảntiền..",p
"tôi đăng ky mua trả góp và tốn thêm 320k tiền quy đổi qua trả góp home credit sao hôm nay tôi gọi home credit thì nhân viên bên đoa nói bên tiki chưa qui đổi qua trả góp cho tôi vấn đề thứ 2 là tôi đặt mua ipad gen 9 có sử dụng LTE, mà sao khi nhận máy[249,251,neg] thì máy ko có khe gắn sim làm sao sử dụng được sim 4g tiki làm ăn như vậy sao",neg
"Rất đẹp, ok.",
" Giao hàng[1,9,p]nhanh, đóng gói[24,31,p] cẩn thận",p
" Giao hàng[1,9,p]nhanh, chính hảngapple, giárẻ. Mua cho hssv học tập rấtổn. Chỉ cái màn hình[84,91,neu] thua các mtb android cùng tầm giá nhưng vềos,app, đồng bộ với macbook + iphone + watch thì quá tuyệt với mức giá 7tr190k",p
"Mình muốn mua iPad có sim 4g hoặc esim nên nhờ tiki tưvấn, vậy mà chuyển link cho mình mua nhầm loại chỉ cówi, đau lòngquá, không lẽ đánh 1 sao",
"máy[0,2,p] ratđẹp, ngoài ra mình tải thêm tbooks tải ebook miễn phí, camera[69,74,p] cũng rất tốt",p
"Đánh giá 1 sao vì shipper[18,24,neg] quá bốláo. Shipper[48,54,neg] khó chịu với khách vì phải ship sáng chủnhật, bắt khách lần sau đặt tối thứ7. Láo hết chỗnói. Việc khách đặt giao nhanh là quyền củakhách, ông*** muốn ship thì cho người kháclàm.",neg
"Nhiều lần mua đồ điện tử trênTiki, lần nào cũng làm mình hàilòng, giao[66,69,p] đúnghẹn, hàng[89,92,p] nguyênseal, rất tốt",p
"Máy[0,2,p] nguyênseal, đóng gói[23,30,p] kỹ không mópméo, máy[58,60,p]đẹp, đầy đủ phụkiện. Xuất hoá đơn VAT hôm sau là có qua email để tiện bảo hành saunày.",p
"máy[0,2,neu] đến thời điểm này vẫn đang ổn chưa có dấu hiệu lỗi lầmgì, được active online trước 1ngày. nhưng đến hôm nay mình vẫn chưa nhận được hoá đơn điệntử, mong tiki sớm phản hồi giúp mình",neu
"giao[0,3,p] nhanh đến bấtngờ, shiper[30,35,p] thânthiện. Mua đồ giá trị cao trên Tiki khá tin tưởng",p
"màu[0,2,p] này nhìn sang, được tặng 3 tháng sử dung Apple TV",p
"Máy[0,2,p] xàiok, chỉ có một điểm trừ là chụp hình[41,49,neu] khôngnét. Còn ngoài ra thì đều rất hàilòng, chẳng khác gì điện thoại iphone phiên bảnto.",p
"10điểm, máy[8,10,p] dùngtốt. Mua về học tập làm việc thao tác cơ bản thì máy này quátốt.",p
"Giao hàng[0,8,p] nhanh 2h làcó. Đóng gói[32,39,p] rất chắc chắn và có mã OTP cho hàng giá trị cao nên rất an tâm khiđặt. Ipad[121,124,p] mượt mà, chạy[146,149,neu]ổn. Tương thích với Apple pencil 1luôn. Rất hài lòng về dịch vụ củaTiki.",p
"Giao hàng[0,8,neg] quáchậm, nhân viên[28,36,neg] xử lý thông tin nhắn tin cho quachuyện, cũng chẳng giải quyết được gì",neg
"Hàng[0,3,p] nguyên hộp chưa kíchhoạt.",p
"Mình xài 1 thángrồi, mọi thứ đềuổn, check imei bảo hành 1năm. Mùa đông cứ ôm trên giường viết viếtthôi, thoải mái hơn ômlap. Viết xong thấy chữ viết m í ẹthật. Suốt ngày đánh máy nên chữ cũng mất nếtđi.",
"Sp[0,1,neu] dùngổn, hàng[20,23,p] chínhhãng, sẽ tiếp tục mua hàng",p
"Sử dụng[0,6,p] tốt",p
"Giao hàng[0,8,p]nhanh, đóng gói[23,30,p] cẩnthận, chất lượng[50,59,p]tốt. Sẽ mua thêm nhiều sản phẩm của shop để ủnghộ.",p
"Máy[0,2,p] nguyênseal, lần đầu mua hàng điện tử vs giá trị cao qua mạng cũng khálo, nhưng thấy nhiều ng và nx tốt nên cũng liều 1 lần vì trời mưa rét nên lười ra shopmua.",p
"Giao hàng[0,8,p] quánhanh. Tầm 24h là có dù mình ở LongAn. Chính hãng nguyên seal",p
"Hộp[0,2,neu] hơi mópgóc, nhưng ko ảnh hưởng jimáy, tiki đóng gói[56,63,p]kĩ, giá[77,79,p] tốt so với các shop bênngoài, hiện tại dùng chưa có vấn đềji, hi vọng bền",p
Quên xuất hóa đơn onl rùi hong biết mốt cần bảo hành thì shao 🥹,
"Máy[0,2,p] dùngtốt, tuy vậy do ko cẩn thận ngồi xuống trúng máy nên máy bịcong.",p
"Hàng[0,3,p] nguyênseal, do FPT phânphối, giao hàng[41,49,p] siêu nhanh2h, thanks Tikinhé!",p
"Mua hàng[4,7,p] của tiki bao yêntâm, hàng chínhhãng, nguyên seal, giao[66,69,p] siêu tốc trong ngày",p
" Hàng giao[1,9,p] nhanhchóng, bảo hành Apple đến tận tháng 4 nămsau. Mua trên tiki công nhận sướng thật",p
"Máy[0,2,p] to đẹp hơn con ipad gen 6 mình mua đãlâu.Giá cũng khá mềm,tầm 7tr cho sản phẩm của nhà Táo thì cũng đáng để mua đó",p
"Giao hàng[0,8,p]nhanh, gói[23,25,p] hàngkỹ. Sản phẩm[44,51,p] đúng như mongđợi. Mua từ Tiki giá tốt hơn các nhà bán lẻ khác rấtnhiều.",p
"Giao hàng[5,8,p][0,8,p]nhanh, chuẩn hàng chínhhãng. Tiki gửi hoá đơn điện tử rất nhanh và hoá đơn có đầy đủ thông tin sảnphẩm, sốIMEI/serial phục vụ BH khi cầnthiết, điểm đáng tiền hơn rất nhiều so với sàn TMĐT khác trên thịtrường.",p
" Giao hàng[1,9,p] rất nhanh chóng trong ngày hàng chính hãng Apple đóng gói rất kỹ luôn nghe",p
"Rấtưng, giao[8,11,p]nhanh, máy[27,29,p] mới cứng ngonlành. Cực kì yên tâm khi mua đồ công nghệ trên Tiki",p
Rõ ràng ghi thích ứng với apple pencil 2 bây giờ tui mua apple pencil 2 cùng lúc với ipad thì không kết nốiđược. Tiki ghi mô tả sản phẩm kiểu gìvậy. Giờ làm gì với cái pencil 2:),
"Máy[0,2,p]đẹp, còn nguyênsiêu, giao hàng[31,39,p] nhanh chóng",p
"Tiki ship[5,8,p]nhanh. Đóng gói[23,30,p] cẩnthận. Máy[50,52,p][50,52,p] mới nguyênseal. Sử dụng chưa thấy lỗi lầmgì. Máymượt, pin[126,128,p]trâu.",p
"Gói hàng[0,7,neu] hơi không chắc cho lắm hộp bị móp một chút",neu
"Đúng chuẩnApple. Ipad mớitinh, hàng của Tiki Trading phân phối nên chất lượng[67,76,p] cực kỳổn, yêntâm.",p
"Máy[0,2,p] chạymượt, pin[21,23,p] tốt xài cả ngày",p
"Giao hàng[0,8,p] nhanh đóng gói cẩnthận, ch ấ sản phẩm cầm thời gian để đánh giá thêm",p
"Máy[0,2,p] ổn vàđẹp. Duy nhất 1 điểm máy minh bên dưới màn[55,57,neu] có một vết đen nhỏ k thể lấy đc nhưng mình cũng dể tính nên nó cũng ảnh hưởng mìnhmấy.(Như hình cái chấmđen)",p
"Ipad giá[5,7,p] rẻ so với thịtrường, giao[37,40,p]nhanh, đóng gói[57,64,p] cẩn thận",p
"Ipadnhẹ,đẹp, nhạy và mua được gía[30,32,p] rẩt tốt khi sử dụng thêm khuyến mãithẻ. giao hàng[83,91,p] siêunhanh. Sẽ tiếp tục ủng hộ Tiki",p
"- giao[2,5,p] cực nhanh, sản phẩm[25,32,p] nguyên seal chất lượng Tiki 10 điểm",p
"Chưa đánh giá gì hết tính out ra chụp hình thì đã tự nhảy 5sao, ghét quá sửa lại 1sao.",
"Ngon bổ rẻ ship[11,14,p] siêunhanh. Mỗi tội đặt màu[48,50,neu] trắng lại giao đen nhưng thôi ko sao đen càng đẹp",p
"Máy[0,2,p] mới nguyên seal chất lượng apple khỏibàn. Tiki giao hàng[58,66,p] nhanh nhưgió. Xin cảm ơn................",p
"Đóng gói[0,7,p] ok sản phẩm rấttốt. Nên mua ở tiki uy tín nha mn",p
"Giao hàng[0,8,p] đúnghạn, sản phẩm[26,33,neu] tốt nhưng thiếu câyviết. Bảo hành thế nào?",p
"Hàng[0,3,p] đẹp nguyênseal. Đóng gói[28,35,p] chắc chắn💞💞💞",p
" Giao hàng[1,9,p]nhanh. Sản phẩm[24,31,p] nguyênhộp. Lần 2 mua iPad từ Tiki Trading",p
"Giao hàng[5,8,p][0,8,p] nhanhchóng, đóng gói[29,36,p] rất chắcchắn, hàng mới nguyênzin, vừa acctive, Giao hàng nhanhchóng, đóng gói rất chắcchắn, hàng mới nguyênzin, vừa acctive,",p
"Hàng[0,3,p] mới tốt, giao[21,24,p] nhanh",p
Gooood,
Lỗi bị cấnviền. Mong tiki giải quyết,
" Giá cả[1,6,neu] hợp lý",neu
"Đóng gói[0,7,p]kỹ, giao hàng[19,27,p]nhanh. Tiki 5sao. iPad không có bút cảm ơn ứng",p
"Máy[0,2,p]đẹp, dùng[15,18,p]mượt, hàng[34,37,p] chínhhãng, có bảo hành điệntử. Không bị vấn đề gìcả.",p
"Máy[0,2,p] nhẹ so với kíchthước. Tốc độ[33,38,neu] ổn cho các tác vụ cơ bản nghegọi,zalo,youtube,facebook,... Dĩ nhiên độ phân giải màn hình[119,139,neu] và tốc độ xử lý không bằng dòng cao cấpđược. Nhưng mức giá[209,211,neu] này là ổn cho một chiếc máy phụ có màn hìnhlớn.",neu
"Ship[0,3,p] siêunhanh, trưa đặt chiềunhận. Mất khoảng5h. Đóng gói[57,64,p] rất chắcchắn. Hàng[89,92,p] nguyêntem. Máy[114,116,neu] chạyngon, hơi chậm nhưng so giá tiền thì ko đòi hỏi gìhơn. Lần đầu dùng Tiki tôi rất hài lòng về dịch vụ 😍",p
"Shipper[0,6,p] nhiệt tìnhlắm. Tính mình chậm chạp mà chị ấy ráng chờ tới khi mình khui hết hộpđựng, lắp pin điện thoại mớiđi. Sản phẩm bên shop rấttốt, nghe[152,155,neu] gọiổn, chữ[177,179,p] to dễnhìn. Cho shop5*ạ.",p
"Hàng[0,3,p] tốt nhìn thấy mê mẩn cho tất cả 5 sao sẽ tiếp tục mua hàng tại shop này nữa nvgh lịch sự cho tất cả 5 sao",p
" Giao hàng nhanh[1,15,p] và chắc chắnnè. Điện thoại[41,50,p] rấtđẹp, giá[69,71,p] quá tốt trong tầm giá và newluôn. Thực sự mua hàng của Tiki rất chất lượng và hài lòngạ. Đây là mình mua tặng Mẹ nhân20/10 🥰",p
"Điện thoại mẫu mã[11,16,p]đẹp, chất lượng[31,40,p] ok so với giá~2tr. Phù hợp cho trẻ hoăc ng trung tuổi xemyoutube. Dùng để làm việc[125,132,neu] thì hơi chậm",p
Tôi vừa mua đt này về mới phát hiện không cài được app MB bank vì bị báo ko tương thích với thiếtbị. Muốn gọi cho shop để đổi hàng mà không có sốđt????? Yêu cầu cũng cấp sốđt!,
"Sản phẩm[0,7,p] rất đẹp và tốt so với giátiền. Mua tiki tôi cảm thấy yên tâm vì chất lượng[80,89,p] đc kiểm tra kỹ hơn các trang mua săm khác",p
"Tiki giao hàng[5,13,p]nhanh, đóng gói[29,36,p] cẩnthận. Sản phẩm[56,63,p]tốt. Xin cảm ơn!",p
"Sản phẩm[0,7,p] chất lượng như giớithiệu, đóng gói[42,49,p] cẩnthận! Có thể tin tưởng mua cả nhànhé!",p
Tạm ổn so với giá,
"Giá[0,2,p] rẻ uy tín",p
"Mua giá[4,6,p] khátốt, sản phẩm[23,30,p] chất lượng chờ thời gian nhưng hàng chính hãng nên yên tâm Giao hàng nhanh",p
"dưới 2tr không nghĩ có sản phẩm nào tốthơn. rất hợp cho ngườigià, màn hình[66,73,p]to, cầm[87,89,p]nhẹ, thêm cái sim 4G nữa là vivu.",p
"shop tư vấn[0,10,p] có tâmghê. giao hành[31,39,p] nhanhnữa. điện thoại[60,69,p] đẹp và dễ sửdụng. khuyên mọi người nên tin muaạ. 🥰🥰 mãi yêu",p
Tốt. Tuy chưa sử dụng nhưng để xemsao.,
" Sản phẩm[1,8,neu] ổn trong tầmgiá. Mua để dùng nghe gọi là chính nên ko đòi hỏi gìnhiều. Không phù hợp với những người có nhu cầu chơi game",neu
Máy ok lâu hơi lag nhưng do làm máy phụ nghe gọi vài ba mạng xã hội nên k lo hy vọng bền lâu 👍👍👍👍👍👍👍,
" điên thoại[1,10,p] dùng tốt trong tầm giá",p
"để một lúc sẽ tắt màn và tắt hẳn không thể mở lên, muốn mở cần tháo pin xong lắp lại mở mơi được. ko biết bảo hành đổi trả như nào",
" Màn hình[1,8,p] lớnrõ, xài cũng êm so với giá tiền",p
"Đt giá[3,5,p] rấtok.. nhận máy xong rất hàilòng, để xử dụng thử như thếnào!",p
"Không hiểuluôn, hộp thì xanh thiên thạch mà dt ở trong là vàng phùsa. Điện thoại thật hay giảđây?",
" Sản phẩm[1,8,p] như hình",p
"Hàng giao[0,8,p]nhanh. Tiki xử lý sự cố nhanh Điện thoại nhẹ phù hợp",p
"Hàng giao[0,8,p] đúng với trênapp, sản phẩm[35,42,p] chất lượng",p
Mình đang dùng nếu thấy OK mình mua thêm 5 chiếcnữa. có được chiết khấu thêm không,
"ổn trong tầmgiá[12,14,p], tiki bán giá tốtnhất, ngoài siêu thị toàn trên1,8tr",p
"RấtTốt đây du phukiến, giao hàng[23,31,p] nhanh can than",p
"Mua hàng tiki nhưng máy[20,22,neg] không nguyênseal, có dấu vân tay trên màhình, đóng hộp[81,88,neg] nham nhở",neg
"Sản phẩm[0,7,p] ok",p
"s ả phù hợp với người caotuổi, sản phẩm[31,38,p]tốt, giao hàng[53,61,p] tốt",p
Với mức giá bày thì quá hàilòng. Thanks,
"rẻ,đẹp, có cả ốptrong, dán màn hình sẵn luôn",
"Pin[0,2,p] bền",p
Chơi game đc làngon...hy vọng đt bền như tên 😂,
Dùng được 2 tuần là lag máy,
"Thích hợp dùng cho ngườigià, máy[29,31,p]đẹp, cầm[46,48,p] chắctay. Tiki giao hàng[73,81,p] nhanh",p
"Chất lượng[0,9,p] tốt",p
👍🏻,
" Điện thoại chạy[1,15,p] tốt",p
"hàng[0,3,p]mới, 1 triệu rưỡi mà máy[32,34,p] mượt vậy là vô đối rồi",p
"hàng[0,3,p] mới và sử dụng[19,25,p] rấttốt!cám ơn shop",p
"Sản phẩm[0,7,p] phù hợp với giáthành, đc tặng kèm ốp lưng và dán màn hình",p
"giao nhanh giá cả[11,16,p] hợp lý",p
"Quátệ. Hộp[7,9,neg] đã bịkhui. Máy[31,33,neg]cũ. Camera[49,54,neg] quá tệ",neg
ổn trong tầm giá,
Ổn trong tầm giá,
ok,
"Gia[0,2,p]re, xai[14,16,p]goi, coi bao tot",p
" chất lượng[1,10,p]tốt, phục vụ[24,30,p] nhiệt tình",p
"ok, màn hình[4,11,p]lớn, phù hơp với người lớn tuổi",p
" điện thoại[1,10,p]đẹp, tốt",p
" chất lượng[1,10,p] sản phẩm tốt, ổn định",p
" giao hàng[1,9,p] siêu nhanh đúng như mô tả",p
"điện[0,3,neg] thoại[14,18,neg] nàyxấu, cấu hình[39,46,neg] và dung lượng[62,71,neg] pin rấtthấp. ko đáng tiền",neg
"Chất lượng,[0,10,p] giá[20,22,p] hợplý, màn hình[40,47,p] chạmtốt, dễ sửdụng!",p
"Sản phẩm[0,7,p] ok giao[19,22,neg] hơi lâu",p
"Giao[0,3,p] nhanh hàng[18,21,p] chính hãng",p
"Cảm ơnTiki, sản phẩm[12,19,p] đúng môtả, giao hàng[41,49,p] đúnghẹn,Thanks!",p
"Mua hàng từ hôm11/11 rồi nhưng bây giờ mới đánhgiá. Cho 1 sao tại vì thời gian giao hàng[79,87,neg]lâu, đợi cả tuần mới nhậnđược. Tưởng là gửi hàng từ miền nam ra miền bắc thường lâu như vậy tại vì cũng đã từng mua đồng hồ của tgdd và cũng mất 1 tuần mới nhậnđược, mua thuốc của Long Châu vận chuyển từ nam ra bắc cũng lâu nhưvậy. Ai ngờ dạo này đặt 3 đơn bên*** cũng là vận chuyển từ nam ra bắc mà 2 đơn 3 ngày đã nhậnđược, 1 đơn thì 4ngày. Cảm giác mất cả tuần trời ngóng món hàng mình mua cực kỳ 😡",neg
"Vẫn rất tin tưởng Tiki nên muaiPhone, iPad đều mua ởTIKI. Tuy nhiên Tiki cần chú ý phần đóng gói[89,96,neg] và vận chuyển[112,121,neg]hàng. Thực sự là nhìn chánluôn, hàng giá trị cao nhưng chuyển từ SG ra HN thì hộp dùng loại khôngvuông, bịbẹp, may mà có phao chống vađập. Các hàng loại này nên đóng gói ghép với nhau lúc vận chuyển để bên vận chuyển chú ý hơn và bảo quản tốthơn. Cho4* thôi vậy",neg
"OK, gói quà[4,10,p]đẹp, người nhận quà rất làthích. Đây là điểm khác biệt củaTIKI. Tuy nhiên bên trong hộp quà con đơn điệuquá, phải chi trang trí thêm 1 số thứ linh tinh khác thì hộp quà sẽ đẹphơn.",p
" Sản phẩm[1,8,p]ok. Tuy nhiên Tiki không hỗ trợ triệt để doanh nghiệp xuất hóa đơn đỏ với đơn hàng trên20M.",p
"Mua tiki nhiều lần goy giao hàng[23,31,p] đúnggiờ. Đóng góiđẹp.5*",p
"Giao hàng[0,8,p]nhanh!",p
"Đóng gói[0,7,p] cẩnthận, giao hàng[25,33,p] nhanh",p
"tuyệt vời sp[10,11,p] tốt hihihihihihi",p
"Hàng[0,3,p] chínhhãng. Giao hàng[23,31,p] nhanh",p
"Giao[0,3,p] nhanh và hàng[21,24,p] xịn",p
"Màu siêu ngọtngào, giao hàng[19,27,p] rất nhanh chóng",p
"Sản phẩm[0,7,p] đúng như mô tâ chất lượng sản phẩm sử dụng một thời gian mới đánh giả được shop đóng gói chắc chắn shipper[115,121,p] nhiêt tình uy Tín trách nhiệm tiki giáo hàng cựcnhanh.",p
"Với số tiền như vậy thì quả là OK nhưng nhân viên giao hàng[40,58,neg] thì không được tốt trời hơi mua không chịu giao cho khách bắt khách hàng phải đợi mưa đi nhân hang",neu
" Giao hàng[1,9,p]nhanh! Hàng[24,27,p] phù hợp tầmgiá! Để nghe gọi giải trí đơn giảnđược.",p
"Máy kháto, cầm nặngtay, không được mỏng dự đoán là do dung lượng pin[54,67,p] lớn nhưng với tầm giá này thì không có gì đểchê. Cấu hình[127,134,p] như này với tôi thế làđược, phù hợp với nam giới hơn nữgiới.",p
" Sản phẩm[1,8,p] làm máy phụ rấttốt, dung lượng pin[37,50,p] rấttrâu. Hệ điều hành[70,81,p] thuần gốc dễ xài và mượt các nhu cầu cơ bản",p
"Mua hàng dịch vụ[9,15,neg][9,15,neg] ko tốt. Sản phẩm sạc[44,46,neg] bị nóng mà ko dc đổi trả. Cứ lấy đi lấy lại kiểm tra. Mất thời gian của khách hàng. Mất lòng tin với dịch vụ mà tiki manglại. Sẽ ko ủng hộ lần sau",neg
" Chất lượng[1,10,p] phù hợp với giábán. Camera[40,45,p] hoạt độngtốt, màn hình[70,77,p]to. Phù hợp với người chỉ sử dụng các ứng dụng cơbản. Không phù hợp chơi game",p
"Mở đt phải cập nhật lâu chừng40p. Hơi tiếc là chân sạc[46,53,neg] ko phải typC. Sạc[80,82,neg] lâuđầy, có sạc nokia theo kèm mà cắm rất nóng cả máy và củsạc. Ông ba dùng đk trong tầmgiá.",neg
"Máy pin[0,7,p] dùng được khálâu. Cầm chắctay. Khá tiếc nokia không sx đt nữa",p
"Hàng[0,3,p] nguyênseal, hài lòng nhé",p
"Máy[0,2,p] kháổn: Màn hình[18,25,p]lớn, pin[40,42,p] cựctốt, giao diện[61,69,neg] chưa thân thiệnlắm. Mức độ hoàn thiện[102,118,p] đạt mứckhá. Máy tặng kèm Bao silicon bảo vệmáy.",p
"Máy[0,2,neu] mới mà cứgiật,lag, bấm khôngăn, tùm lum vấn đềhết. Cố ý chọn nhà bán hàng là Tiki rồi vẫnvậy.",neg
"Android go phiên bản[11,19,neg] này không ổnđịnh, được vài hôm xuất hiện lỗi không thể mở được ứng dụng camera dù không va đập phần cứngnào, tạm chấp nhận được",neg
"Máy[0,2,p] cầm rất cứng cáp,tuy vỏ nhôm nắp lưng như nhìn rất sang",p
"Xạc pin[4,6,neg] cả tiếng đồng hồ mà kg có1% Pin nào các em ơi",neg
" Giao hàng[1,9,p] rấtnhanh. Đặt sáng CN thì sáng thứ 2 đã giaohàng, dù là giao ngoạitỉnh. Sản phẩm chưa dùng nên chưa đánh giá đượckỹ. Tạm hài lòng[139,146,p] với dịchvụ.",p
" Màn hình[1,8,p]bự, rất hợp cho cha mẹ lớntuổi. Máy[48,50,neg] hơi chậmxíu, pin[76,78,p]trâu, camera[94,99,p] tạmổn, mua Tiki trading rất yêntâm. Trong tầm giá[156,158,p] như vậy là quáổn! Em shipper[192,198,p] rất dễthương!",p
"Giao hàng[0,8,p] tốc độ. Sản phẩm[23,33,p] rất tốt so với giá tiền! Đẹp,nét, pin[79,81,p] dung lượngnhiều, bộ nhớ… nói chung quá tốt so với tầm giá dưới 2 triệu! Hàng điện tử mua của Tiki Trading thì yên tâm!",p
"các tính năng[4,12,p] kỹ thuật của điện thoại Nokia chính hãng thì hoànhảo. giá[76,78,p] lại rẻ vừa túi tiền của học sinh và người có thu nhậpthấp.",p
"Điện thoại nguyên siu đầy đủ phụkiện.chất lượng[32,46,p] tốt so với giá.lâu dài thì chưabiết,cho shop 5 sao",p
"Thanks tiki đã hỗ trợ tậntình, sau khi gỡ miếng dán ra thì máy[59,61,p] hiện xài OK r!!",p
" Mẫu mã[1,6,p]đẹp, âm thanh[19,26,p]tốt,nhanh. Chưa sử dụng nhiều nên chưa thể đánh giánhiều. Sao không có nút cài đặt trong đó có thể hiện bộ nhớtrong, thẻnhớ; wiffi hay dùng 3G và nhiều chức năngkhác. Lắp thẻ nhớ có 1 số hình mà không tìm thấyđâu.",p
" màn hình[1,8,neg] bịlỗi. Yêu cầu trả hàng",neg
"Máy[0,2,p] rất chắcchắn,cầm đầmtay…màn hình cũngổn…quảng cáo pin[61,63,p] 6000 trâu nhưng sạc chậm rấtlâu…giao hàng nhanh và nhiệt tình",p
"shop giao[5,8,p] đúng sảnphẩm. giá[31,33,p] cả hợplý.. mọi người yên tâm mua hàngnhé. chúc shop buôn bán thuận lợi",p
"Điện thoại đóng gói[11,18,p] cẩnthận, đầy đủ phụkiện. Dùng ok",p
"Máy[0,2,neg] chạy chậm tạm được với tầmgiá, giao hàng[44,52,p] nhanh shippe[69,74,p] vui vẻ chấm 5sao",p
"Giao hàng[0,8,p]nhanh, điện thoại đúng như môtả,mới dùng thấyok,độ bền chưa[67,74,neu] dám đánh giá",p
"Mình đã nhận được hàng theo đúng lịchtrình, mới sử dụng[48,54,p] thì thấyok. Cảm ơn Tiki và Shop",p
"dùng[0,3,neg] tệ mới mua về máy[28,30,neg] rất lag bây giờ không sử dụng được",neg
" Sản phẩm[1,8,p] đóng gói cẩnthận, giao hàng[35,43,p] nhanhchóng. Chất lượng[66,75,p] đt đúng như quảng cáo",p
"Tiền nào củanấy. Máy cấu hình[21,28,neg] thấp nên giật lag thườngxuyên. Còn hay đơ cảm ứng[83,89,neg] chưa rõ nguyênnhân. Nay còn bị tịt loa[138,140,neg]trong, đang cân nhắc có nên gửi bảo hànhko.",neg
"điện thoại[0,9,p] còn nguyêntem, màn hình[33,40,p]to, hài lòng",p
"Máy[0,2,p]đẹp, phù hợp với người dùng nhu cầu phổthông. TiKi giao hàng[61,69,p] siêunhanh, chưa đầy24h.",p
"mua của tiki nên khá yêntâm. giao hàng[29,37,p]nhanh. mới kiểm tra ngoại quan thấyok.",p
"Giao hàng[0,8,p]nhanh, đóng gói[23,30,p] cẩnthận, sản phẩm[50,57,p] đúng như mô tả",p
"Loa[0,2,neg] ngoàihỏng, không thể nghe gọi bìnhthương, đề nghị được đổitrả. Khách hàng thân thiết mong tiki trading hỗ trợ",neg
"Tình hình là hàng Nokia hiện tại tốt hơn mong đợi và tốt hơn các hãng khác ở cùng mứcgiá.[85,88,p]",p
"Nếu chọn pin[9,11,p] thì Sài hơi bịlâu, còn cái khác thì bìnhthường. Tiền nào củađó.",p
"Không thất vọng khi mua hàng ởtiki.. thanks shop Giáo hàng[44,57,p]nhanh, đống gói[74,81,p] cẩn thận",p
"Tốt với giá[8,10,p] rẻ",p
" Điện thoại[1,10,p] ok đầy đủ phụkiện. Đóng gói[39,46,neg] tệ quá chỉ gói giấy cho điện thoại sau chóng xócđược.",p
"Máy[0,2,neg] mất seal là sao hả tikitrading?",neg
"Chất lượng[0,9,p] OK vs giá tiền",p
"Pin[0,2,neg] nhanh hếtthật, lúc mở lên pin hơn50% mà xài có 2 giờ hết sạchpin. Không biết sau khi sạc sẽ như thếnào, sẽ đánh giá lại",neg
"Giao nhanh,[0,10,p]đẹp, hàng oklắm. Ko bịlỗi. Nói chung MƯỜIĐIỂM, MƯỜI ĐIỂM",p
"giá[0,2,neg] rẻ phảichăng, mua về cho người lớn hay dùng để nghe gọi lướtfb,yb, tiktok thì hếtý, có ốplưng, và dán sãn miếng dán màn hình nên khỏi phải muathêm.",p
"Máy[0,2,p] đẹp nguyênhộp, cứng cáp và màn hình[38,45,p] rộng pin[61,63,p] lâu",p
"Hàng[0,3,p]bền, chất lượng[16,25,p]tốt, có đk sau sẽ ủng hộ shop",p
"Sản phẩm[0,7,p] tốt trong tầm giá, với giá hơn 2t2 chỉ phù hợp với nghe gọi lướt web hoặc cài ít ứng dụng nhẹ, đôi khi máy còn bị đơ có lẽ con chip quá yếu",p
"Giao[0,3,p]nhanh, sản phẩm[18,25,p]ổn. Không có thông tin gì về chính sách bảo hành",p
"Pin[0,2,p]khủng. Mọi thứ của máy đềuổn.",p
"Tốt trong tầmgiá.[13,16,p]",p
"Rất ưng trong tầmgiá,[17,20,p] bao gói[31,37,p] cẩn thận",p
"Hàng Nokia chất lương[11,20,p] khỏi chê nhưng đó là nói Nokia ngày xưanha, chứ bây giờ là chê nha",p
"Sử dụng[0,6,p] ổn",p
"Mua xong mới thấy đt hơilớn, nhưng mọi thứ vẫnok, tiki giao hàng[55,63,p] nhanh",p
"Máy[0,2,p]ổn, màn hình[14,21,p]lớn, cập nhật lúc đầu hơi lâu",p
"mới mở dùng[7,10,p] tạmổn, lâu dài không biếtkhông, pin[52,54,p] trâu",p
" Dien thoại[1,10,p] đep pin[24,26,p] trâu xài gần 1ngay ruoi mới hết pin điện thoại re",p
" Giao hàng[1,9,p]nhanh, đóng gói[24,31,p] cẩnthận. Sản phẩm đúng như thông tin đăngbán.",p
" giao hàng[1,9,p] nhanh,máy[23,26,p] đẹp,nge[40,43,p] rõ,xuất hóa đơn nhanh",p
"Hình thức[0,8,p]đẹp, âm thanh[21,28,p] torõ, độ bền[45,50,neu] cần thời gian để đánhgiá.",p
"Shop lì xìnữa, bất ngờquá. Máy[27,29,p] đẹp như hình:)",p
" giao hàng[1,10,p]nhanh, đúng mã sản phẩm",p
"sản phẩm[0,7,p]tốt. đã dùng hàng bênnày.",p
"Ko hai long dân phẩm[12,19,neg] thiếu chất lương",neg
"Giao hàng[0,8,p]nhanh, đóng gói[23,30,p] cẩnthận, hàng đẹp như quangcáo, chínhhãng, cho shop 5sao, sẽ ủng hộ tiếp",p
